Local Authority,Estimated proportion of people living with cataract,Latitude,Longitude,Estimated indirect cost of sight loss,Estimated indirect cost of sight loss per person,Estimated number of adults with diabetes,Estimated number of people living with cataract,"Estimated number of people living with Drusen, an early stage age-related macular degeneration",Estimated number of people living with late stage age-related macular degeneration,Estimated number of people living with late stage dry age-related macular degeneration,Estimated number of people living with late stage wet age-related macular degeneration,Estimated number of people living with ocular hypertension,Estimated number of people living with severe sight loss (blindness) in 2011,Estimated number of people living with severe sight loss (blindness) in 2020,Estimated number of people living with severe sight loss (blindness) in 2030,Estimated number of people living with sight loss in 2011,Estimated number of people predicted to be living with sight loss in 2020,Estimated number of people predicted to be living with sight loss in 2030,Estimated proportion of adults with diabetes,"Estimated proportion of people living with Drusen, an early stage age-related macular degeneration",Estimated proportion of people living with glaucoma,Estimated proportion of people living with late stage age-related macular degeneration,Estimated proportion of people living with late stage wet age-related macular degeneration,Estimated proportion of people living with ocular hypertension,Estimated proportion people living with late stage dry age-related macular degeneration,"Estimated rate of NHS sight tests for children aged 0-1per 100,000 population","Estimated rate of NHS sight tests for people aged 60 years and over per 100,000 population","Estimated rate of NHS sight tests per 100,000 population",Estimated total number of people living with glaucoma,Number of NHS sight tests in 2012/13,Number of NHS sight tests recorded for people aged 0-15,Number of NHS sight tests recorded for people aged 60 years and over,Number of NHS sight tests recorded for students aged 16-18,Number of older people living with sight loss 85 and over,Number of older people living with sight loss aged 65-74,Number of older people living with sight loss aged 75-84,Number of people registered blind aged 0-4,Number of people registered blind aged 75+,Number of Records,ONS Area Code,Percentage change in number of registered blind or partially sighted people from 2010/1to 2013/14,Percentage of people living with sight loss compared to overall population in 2011,Percentage of people living with sight loss compared to overall population in 2020,Percentage of people living with sight loss compared to overall population in 2030,Proportion of population aged 0-4,Proportion of population aged 18-29,Proportion of population aged 30-49,Proportion of population aged 5-17,Proportion of population aged 50-64,Proportion of population aged 65-74,Proportion of population aged 75-84,Proportion of population aged 85+,"Rate of registration as blind or partially sighted per 100,000 people",Total number of people registered blind,Total number of people registered partially sighted,Total population,Total population aged 0-4,Total population aged 18-29,Total population aged 30-49,Total population aged 5-17,Total population aged 50-64,Total population aged 65-74,Total population aged 75-84,Total population aged 85+
Armagh,0.007633974,54.34875,-6.65161,4170000,70.28,3376,453,1985,415,144,293,1114,170,240,-,1480,1990,-,0.056892484,0.033451298,0.007566566,0.006993596,0.004937647,0.018773172,0.002426694,-,-,"13,843",449,"9,032",-,-,-,387.6569,306.9738,395.1328,-,-,1,95O,,0.0249,0.0306,-,0.0726,0.1616,0.2736,0.1792,0.1712,0.0804,0.0454,0.0161,-,-,-,59340,4309,9587,16233,10631,10158,4771,2696,955
Moyle,0.008973607,55.114938,-6.153784,1383000,81.11,1062,153,669,138,48,98,341,60,70,-,490,610,-,0.062287390,0.039237537,0.008093842,0.008093842,0.005747801,0.02,0.002815249,-,-,"14,215",138,"2,494",-,-,-,137.1619,109.0602,125.9467,-,-,1,95E,,0.0287,0.0342,-,0.0618,0.1449,0.2628,0.1679,0.1914,0.0993,0.052,0.02,-,-,-,17050,1053,2471,4480,2862,3263,1693,887,341
Larne,0.009136109,54.8575,-5.80986,2692000,83.64,2033,294,1283,272,95,192,659,110,140,-,950,1120,-,0.063175886,0.039869484,0.008266004,0.008452455,0.005966439,0.020478558,0.002952144,-,-,"14,625",266,"4,808",-,-,-,268.7028,196.2225,258.2374,-,-,1,95F,,0.0295,0.0349,-,0.0578,0.1409,0.2737,0.1609,0.1963,0.0948,0.0557,0.02,-,-,-,32180,1860,4533,8807,5178,6318,3050,1791,643
Ballymoney,0.007878555,55.07203,-6.51699,2244000,71.88,1821,246,1067,224,78,158,604,90,130,-,790,1040,-,0.058320523,0.034172431,0.007814502,0.007173969,0.005060210,0.019344094,0.002498078,-,-,"15,548",244,"4,844",-,-,-,201.4706,167.198,224.63,-,-,1,95D,,0.0253,0.0311,-,0.0676,0.1549,0.2904,0.1728,0.1653,0.0833,0.0496,0.016,-,-,-,31224,2110,4837,9067,5396,5162,2602,1550,500
Castlereagh,0.010127599,54.57718,-5.88821,5919000,88.03,4225,681,2747,634,220,449,1387,250,300,-,2090,2390,-,0.062832753,0.040852443,0.008313257,0.009428631,0.006677374,0.020626989,0.003271765,-,-,"15,935",559,"11,024",-,-,-,618.6342,387.3194,640.9353,-,-,1,95Y,,0.0311,0.0348,-,0.0602,0.1376,0.2908,0.1575,0.1782,0.0887,0.064,0.023,-,-,-,67242,4051,9255,19552,10589,11981,5965,4305,1544
Carrickfergus,0.008488009,54.726187,-5.810121,3065000,78.37,2398,332,1457,307,107,217,789,130,170,-,1080,1390,-,0.061307972,0.037250089,0.008130081,0.007848852,0.005547886,0.020171805,0.002735593,-,-,"15,955",318,"6,421",-,-,-,295.1805,225.0584,293.9341,-,-,1,95V,,0.0276,0.0334,-,0.0601,0.1438,0.2846,0.1659,0.1858,0.0895,0.0522,0.0182,-,-,-,39114,2350,5625,11131,6488,7267,3501,2040,712
Antrim,0.006719323,54.719534,-6.20725,3451000,64.59,3007,359,1659,326,113,230,1014,140,200,-,1220,1680,-,0.056281351,0.031051134,0.007655162,0.006101670,0.004304859,0.018978813,0.002114996,-,-,"16,035",409,"8,843",-,-,-,298.07,268.3347,304.5624,-,-,1,95T,,0.0228,0.0278,-,0.0744,0.1555,0.2927,0.1772,0.1679,0.0784,0.0403,0.0137,-,-,-,53428,3975,8308,15636,9470,8968,4189,2151,731
Banbridge,0.007447403,54.348729,-6.27048,3370000,69.72,2767,360,1580,328,113,232,930,140,200,-,1190,1620,-,0.057241565,0.032685823,0.007757711,0.006785411,0.004799437,0.019239124,0.002337657,-,-,"16,201",375,"8,048",-,-,-,326.9171,238.8725,312.3868,-,-,1,95Q,,0.0246,0.0309,-,0.0757,0.147,0.2949,0.1758,0.1681,0.077,0.0449,0.0166,-,-,-,48339,3661,7104,14254,8497,8127,3724,2170,802
Strabane,0.007454258,54.827269,-7.463579,2733000,68.6,2279,297,1308,268,93,190,758,110,150,-,970,1270,-,0.057199508,0.032828853,0.007680145,0.006726401,0.004768717,0.019024672,0.002334162,-,-,"18,267",306,"7,955",-,-,-,239.1735,205.4038,262.6689,-,-,1,95J,,0.0243,0.03,-,0.0674,0.1533,0.2874,0.1849,0.1668,0.0797,0.0459,0.0146,-,-,-,39843,2685,6109,11450,7365,6647,3177,1827,583
Cookstown,0.006997541,54.64102,-6.74428,2419000,65.35,2010,259,1131,236,81,167,675,100,130,-,860,1120,-,0.054305244,0.030556831,0.007348769,0.006376138,0.004511928,0.018236836,0.002188420,-,-,"18,870",272,"7,343",-,-,-,232.0612,172.6691,220.3106,-,-,1,95I,,0.0232,0.0273,-,0.0757,0.1756,0.2823,0.1784,0.1594,0.0725,0.0408,0.0152,-,-,-,37013,2802,6501,10448,6604,5900,2684,1510,564
Down,0.008073884,54.341291,-5.748485,5212000,74.74,4071,563,2458,515,178,364,1332,220,300,-,1840,2420,-,0.058381495,0.035249745,0.007701023,0.007385524,0.005220060,0.019101978,0.002552667,-,-,"19,054",537,"13,850",-,-,-,528.3267,373.5314,476.1096,-,-,1,95R,,0.0264,0.0323,-,0.0689,0.1574,0.2691,0.1766,0.1786,0.0833,0.0475,0.0186,-,-,-,69731,4803,10978,18767,12316,12451,5808,3311,1297
Lisburn,0.007356551,54.516246,-6.058011,8311000,69.16,6799,884,3944,814,282,575,2279,340,460,-,2940,3770,-,0.056580535,0.032821537,0.007647818,0.006774019,0.004785087,0.018965589,0.002346773,-,-,"19,169",919,"23,724",-,-,-,771.2659,605.3394,777.5782,-,-,1,95S,,0.0245,0.0299,-,0.0736,0.1565,0.2822,0.1774,0.1717,0.0783,0.0449,0.0154,-,-,-,120165,8844,18800,33912,21312,20638,9405,5399,1855
Limavady,0.006560115,55.05222,-6.94035,2114000,63.05,1883,220,1011,200,69,141,633,80,130,-,750,1070,-,0.056148616,0.030146708,0.007603769,0.005963740,0.004204437,0.018875239,0.002057490,-,-,"19,201",255,"6,577",-,-,-,185.6863,164.0472,177.6059,-,-,1,95B,,0.0224,0.0304,-,0.0691,0.1631,0.2938,0.1777,0.1701,0.0761,0.0366,0.0136,-,-,-,33536,2317,5469,9854,5958,5703,2552,1227,456
Newry and Mourne,0.006594290,54.127247,-6.508945,6209000,62.41,5360,656,2946,603,210,426,1801,250,340,-,2200,2860,-,0.053880177,0.029613993,0.007297949,0.006061520,0.004282268,0.018104142,0.002110977,-,-,"20,487",726,"22,855",-,-,-,544.0874,441.634,584.6909,-,-,1,95P,,0.0221,0.025,-,0.0776,0.167,0.2821,0.1895,0.1605,0.0689,0.0408,0.0135,-,-,-,99480,7720,16618,28066,18853,15967,6854,4058,1344
Fermanagh,0.008267939,54.451352,-7.712502,4689000,75.86,3648,511,2212,469,162,332,1205,200,250,-,1660,2090,-,0.059024351,0.035789985,0.007863441,0.007588383,0.005371734,0.019496804,0.002621147,-,-,"20,970",486,"14,053",-,-,-,477.2026,323.1138,439.008,-,-,1,95L,,0.0269,0.0312,-,0.0678,0.1482,0.2763,0.1745,0.184,0.0813,0.049,0.0189,-,-,-,61805,4190,9160,17077,10784,11370,5025,3028,1171
Dungannon,0.006672198,54.508273,-6.766935,3664000,63.34,3103,386,1709,355,123,250,1047,150,220,-,1300,1790,-,0.053636866,0.029540897,0.007294476,0.006136348,0.004321372,0.018097905,0.002126115,-,-,"22,296",422,"14,078",-,-,-,346.6552,258.9252,334.615,-,-,1,95M,,0.0225,0.0266,-,0.0785,0.1734,0.2855,0.1828,0.1559,0.0695,0.04,0.0145,-,-,-,57852,4540,10030,16514,10576,9020,4020,2316,836
Belfast,0.008353443,54.597285,-5.93012,21296000,75.8,15740,2347,9665,2216,776,1567,5159,910,950,-,7540,7870,-,0.056021811,0.034399670,0.007403136,0.007887188,0.005577267,0.018361914,0.002761939,-,-,"24,059",2080,"71,743",-,-,-,2325.2793,1350.4233,2136.5763,-,-,1,95Z,,0.0268,0.0288,-,0.0642,0.2143,0.2711,0.1476,0.1572,0.0741,0.0514,0.02,-,-,-,280962,18046,60219,76166,41476,44164,20821,14447,5623
Derry,0.006118079,54.996612,-7.308575,6387000,59.21,5821,660,3097,596,205,421,1950,250,350,-,2260,3020,-,0.053959602,0.028708622,0.007286076,0.005524811,0.003902593,0.018076142,0.001900312,-,-,"24,427",786,"29,937",-,-,-,492.3916,488.6187,578.0714,-,-,1,95A,,0.0209,0.0262,-,0.0702,0.1781,0.2801,0.1867,0.1657,0.0704,0.0375,0.0112,-,-,-,107877,7574,19214,30217,20142,17878,7598,4049,1205
North Down,0.010033318,54.639743,-5.710526,7243000,91.76,5077,792,3364,747,260,529,1647,310,400,-,2560,3160,-,0.064317114,0.042616264,0.008411771,0.009463243,0.006701547,0.020864740,0.003293766,-,-,"26,110",664,"21,138",-,-,-,827.9352,502.3311,670.8621,-,-,1,95W,,0.0324,0.0395,-,0.0604,0.1395,0.2704,0.1479,0.1984,0.1001,0.058,0.0253,-,-,-,78937,4765,11013,21345,11677,15665,7898,4577,1997
Magherafelt,0.006727652,54.75639,-6.60636,2861000,63.52,2427,303,1340,275,95,194,816,120,150,-,1010,1270,-,0.053887828,0.029752653,0.007304942,0.006105955,0.004307474,0.018118034,0.002109330,-,-,"26,455",329,"12,226",-,-,-,267.737,201.2669,263.5202,-,-,1,95H,,0.0224,0.0256,-,0.0782,0.1682,0.2842,0.1874,0.157,0.0694,0.041,0.0145,-,-,-,45038,3524,7574,12802,8439,7070,3127,1847,655
Omagh,0.007107251,54.597715,-7.30996,3431000,66.8,2865,365,1628,332,115,235,957,140,200,-,1210,1650,-,0.055787055,0.031700288,0.007516162,0.006464678,0.004575902,0.018634629,0.002239271,-,-,"26,473",386,"14,429",-,-,-,323.4484,241.8937,312.5978,-,-,1,95K,,0.0236,0.029,-,0.0716,0.1579,0.2776,0.1881,0.174,0.073,0.0423,0.0155,-,-,-,51356,3679,8107,14258,9660,8937,3749,2170,796
Newtownabbey,0.008445013,54.68528,-5.9645,6470000,75.99,5012,719,3072,663,230,470,1659,270,380,-,2290,3050,-,0.058868439,0.036082172,0.007857739,0.007787266,0.005520384,0.019485782,0.002701465,-,-,"28,357",669,"24,667",-,-,-,613.4816,459.2418,657.998,-,-,1,95U,,0.0269,0.0348,-,0.0692,0.1607,0.2814,0.1611,0.1736,0.0836,0.0527,0.0178,-,-,-,85139,5892,13681,23960,13713,14778,7114,4489,1512
Coleraine,0.008922072,55.13258,-6.66461,4757000,80.54,3619,527,2280,480,167,339,1168,200,260,-,1680,2110,-,0.061269406,0.038600234,0.007973996,0.008126365,0.005739245,0.019774155,0.002827298,-,-,"30,512",471,"17,999",-,-,-,465.2098,359.5051,457.8296,-,-,1,95C,,0.0284,0.0379,-,0.0587,0.1619,0.2666,0.1616,0.1837,0.0939,0.0541,0.0194,-,-,-,59067,3470,9564,15747,9547,10850,5549,3194,1146
Ards,0.008837317,54.589965,-5.598497,6396000,81.92,4918,690,3080,634,219,448,1608,260,350,-,2260,2890,-,0.062988294,0.039447732,0.008299393,0.008120085,0.005737852,0.020594790,0.002804887,-,-,"30,789",648,"24,551",-,-,-,624.8408,493.5877,582.978,-,-,1,95-,,0.0289,0.0352,-,0.0608,0.1353,0.2735,0.1604,0.2001,0.0992,0.0515,0.0193,-,-,-,78078,4747,10563,21354,12522,15626,7743,4018,1505
Craigavon,0.007159520,54.45086,-6.39383,6223000,66.9,5178,666,2952,610,211,431,1738,250,340,-,2200,2870,-,0.055663653,0.031734087,0.007535771,0.006557518,0.004633263,0.018683551,0.002268256,-,-,"31,969",701,"31,574",-,-,-,563.3898,462.9996,586.0678,-,-,1,95N,,0.0237,0.0267,-,0.0786,0.1673,0.2869,0.1703,0.1612,0.0771,0.0437,0.0148,-,-,-,93023,7316,15562,26692,15838,14998,7175,4063,1379
Ballymena,0.009040660,54.86538,-6.28038,5202000,81.23,3922,579,2472,535,186,378,1281,220,300,-,1840,2390,-,0.061239148,0.038598464,0.008072575,0.008353632,0.005902192,0.020001874,0.002904253,-,-,"35,014",517,"23,488",-,-,-,509.6582,373.8698,525.3795,-,-,1,95G,,0.0287,0.0354,-,0.064,0.1469,0.278,0.1638,0.181,0.0907,0.0563,0.0194,-,-,-,64044,4099,9411,17803,10488,11589,5806,3604,1244
Caerphilly,0.008802837,51.578829,-3.218134,14267000,79.79,11049,1574,6925,1430,495,1011,3607,590,760,"1,020",5050,6210,"7,940",0.061793228,0.038729125,0.008635057,0.007997494,0.005654173,0.020172701,0.002768363,-,-,-,1544,-,-,-,-,1382.38,1071.88,1333.53,-,-,1,W06000018,,0.0282,0.0347,4.37%,0.0633,0.1477,0.2724,0.1587,0.1926,0.0933,0.0529,0.0191,489,425,450,178806,11313,26403,48710,28378,34437,16690,9467,3408
Aberdeen City,0.008339580,57.149717,-2.094278,16793000,75.37,13069,1858,7865,1725,601,1220,4275,700,840,"1,070",5940,7040,"8,670",0.058659832,0.035301827,0.008994897,0.007742613,0.005475935,0.019188215,0.002697571,-,-,-,2004,-,-,-,-,1679.0383,1059.1378,1710.9196,-,-,1,S12000033,,0.0267,0.0292,3.30%,0.0517,0.2365,0.2784,0.1122,0.1775,0.0729,0.0524,0.0184,410,401,471,222793,11512,52696,62015,24992,39547,16242,11680,4109
Perth and Kinross,0.011319314,56.591737,-3.855735,14464000,98.59,9954,1660,6904,1525,528,1079,3170,620,800,"1,070",5120,6420,"8,240",0.067874969,0.047077435,0.010132831,0.010398767,0.007357554,0.021615798,0.003600360,-,-,-,1486,-,-,-,-,1531.5455,1014.468,1476.9817,-,-,1,S12000024,,0.0349,0.0385,4.43%,0.0499,0.1281,0.2614,0.1465,0.2125,0.1066,0.0694,0.0256,550,378,425,146652,7317,18783,38335,21487,31167,15632,10174,3757
Dumfries and Galloway,0.011809098,54.988285,-3.857784,15478000,102.3,10646,1787,7554,1629,564,1152,3334,660,830,"1,070",5480,6630,"8,120",0.070352357,0.049919378,0.010328831,0.010764981,0.007612804,0.022032196,0.003727102,-,-,-,1563,-,-,-,-,1542.8499,1165.1644,1614.8538,-,-,1,S12000006,,0.0362,0.045,5.63%,0.0506,0.1196,0.2479,0.1412,0.2223,0.1189,0.0744,0.0251,650,428,534,151324,7660,18094,37513,21368,33639,17997,11257,3796
Powys,0.012611298,52.143087,-3.373682,14636000,110.07,9440,1677,6901,1531,528,1084,2928,640,870,"1,240",5180,6880,"9,190",0.070990254,0.051896583,0.009430273,0.011513356,0.008151847,0.022019011,0.003970641,-,-,-,1254,-,-,-,-,1677.89,1049.96,1437.66,-,-,1,W06000023,,0.039,0.049,6.31%,0.0495,0.1137,0.2391,0.1487,0.2216,0.1221,0.0746,0.0307,511,386,293,132976,6582,15122,31789,19774,29463,16232,9926,4088
"Rhondda, Cynon, Taff",0.009334073,51.674498,-3.468708,19910000,84.94,14560,2188,9373,2012,699,1421,4706,840,1020,"1,330",7050,8340,"10,330",0.062113391,0.039985495,0.008596050,0.008583252,0.006062028,0.020075935,0.002981955,-,-,-,2015,-,-,-,-,2104.36,1420.12,1883.51,-,-,1,W06000016,,0.0301,0.0345,4.20%,0.0616,0.1588,0.2663,0.1522,0.1901,0.0939,0.0555,0.0216,574,691,655,234410,14449,37221,62434,35682,44551,22004,13010,5059
Carmarthenshire,0.011562927,51.859854,-4.260853,18548000,100.93,12387,2125,8768,1960,680,1388,3893,800,1010,"1,380",6560,8130,"10,560",0.067402341,0.047709996,0.009070776,0.010665100,0.007552632,0.021183282,0.003700137,-,-,-,1667,-,-,-,-,2096.57,1312.49,1816.17,-,-,1,W06000010,,0.0357,0.0413,5.06%,0.0561,0.1332,0.2468,0.1487,0.2074,0.1107,0.0688,0.0282,795,692,769,183777,10310,24481,45360,27332,38118,20343,12651,5182
Swansea,0.010141283,51.62144,-3.943646,21323000,89.21,14902,2424,9981,2232,773,1581,4740,910,1120,"1,430",7550,8940,"10,960",0.062345465,0.041757488,0.008488723,0.009338013,0.006614426,0.019830728,0.003233998,-,-,-,2029,-,-,-,-,2331.21,1433.31,2158.08,-,-,1,W06000011,,0.0316,0.0358,4.10%,0.0548,0.1844,0.2566,0.141,0.184,0.0927,0.0623,0.0241,530,671,595,239023,13110,44083,61332,33698,43988,22156,14901,5755
Cardiff,0.007795660,51.481581,-3.17909,24709000,71.4,18823,2698,11113,2502,866,1774,6143,1050,1190,"1,530",8740,9920,"12,390",0.054387587,0.032110145,0.007599179,0.007229333,0.005125834,0.017749718,0.002502239,-,-,-,2630,-,-,-,-,2803.8,1474.81,2327.06,-,-,1,W06000015,,0.0253,0.0253,2.75%,0.0647,0.2407,0.2669,0.1399,0.1562,0.0656,0.0461,0.0199,621,1145,1005,346090,22378,83305,92356,48433,54066,22705,15949,6898
Highland,0.010020161,57.359614,-5.099276,20883000,89.94,15435,2326,10180,2120,733,1498,4990,870,1140,"1,570",7390,9290,"12,070",0.066492341,0.043854359,0.010076164,0.009132735,0.006453225,0.021496390,0.003157686,-,-,-,2339,-,-,-,-,2049.7197,1539.3463,2031.7273,-,-,1,S12000017,,0.0318,0.0391,4.82%,0.0547,0.1249,0.2663,0.1487,0.22,0.1028,0.061,0.0216,560,687,553,232132,12705,28984,61823,34514,51066,23863,14161,5016
North Lanarkshire,0.007790316,55.828914,-3.922196,24287000,71.9,20424,2631,12008,2387,826,1686,6814,970,1230,"1,590",8590,10340,"12,820",0.060474881,0.035555345,0.009457343,0.007067839,0.004992198,0.020176059,0.002445762,-,-,-,3194,-,-,-,-,1930.611,1877.7569,2398.8785,-,-,1,S12000044,,0.0254,0.0312,3.85%,0.0608,0.1526,0.2911,0.156,0.1903,0.0856,0.0495,0.0141,870,1833,1009,337727,20549,51543,98309,52690,64253,28926,16708,4749
Aberdeenshire,0.008799358,57.162143,-2.719417,20470000,80.91,16182,2226,9898,2020,695,1430,5345,840,1130,"1,590",7240,9370,"12,480",0.063967301,0.039126705,0.009906196,0.007985042,0.005652777,0.021128737,0.002747329,-,-,-,2506,-,-,-,-,1985.3856,1455.2366,1894.1039,-,-,1,S12000034,,0.0286,0.0348,4.30%,0.0598,0.1258,0.2874,0.1541,0.2121,0.0892,0.0522,0.0193,350,362,483,252973,15138,31813,72710,38982,53667,22571,13201,4891
South Lanarkshire,0.009106841,55.524304,-3.703508,25910000,82.54,20130,2858,12620,2630,913,1859,6624,1070,1370,"1,790",9170,11300,"14,120",0.064143007,0.040212854,0.009893892,0.008380333,0.005923589,0.021106969,0.002909218,-,-,-,3105,-,-,-,-,2370.6077,1894.4737,2598.6987,-,-,1,S12000029,,0.0292,0.035,4.29%,0.0554,0.1387,0.2847,0.1463,0.2062,0.0931,0.0572,0.0184,710,1277,918,313830,17401,43520,89342,45915,64709,29219,17937,5787
Shetland Islands,0.008762464,60.529651,-1.265941,1881000,81.08,1465,203,902,185,64,131,480,80,110,150,670,860,"1,140",0.063236500,0.038934692,0.009712090,0.007985497,0.005654595,0.020719126,0.002762550,-,-,-,225,-,-,-,-,188.1958,137.5095,169.8977,-,-,1,S12000027,,0.0289,0.0375,5.00%,0.06,0.1323,0.2783,0.1602,0.2063,0.0925,0.0508,0.0197,350,38,40,23167,1389,3064,6447,3711,4779,2143,1178,456
Orkney Islands,0.010539135,59.042913,-3.154215,2001000,93.52,1461,225,975,202,69,143,465,80,110,150,710,860,"1,130",0.068434119,0.045669586,0.010211251,0.009461801,0.006698206,0.021780880,0.003232001,-,-,-,218,-,-,-,-,197.582,157.5554,189.2769,-,-,1,S12000023,,0.0332,0.0408,5.24%,0.0519,0.1232,0.2615,0.1436,0.2223,0.1142,0.061,0.0224,440,42,46,21349,1107,2630,5582,3066,4745,2438,1302,479
Eilean Siar,0.012064731,57.76,-7.02,2918000,105.33,1954,334,1389,309,108,218,618,130,150,190,1030,1180,"1,450",0.070582286,0.050173385,0.010475365,0.011161682,0.007874585,0.022323364,0.003901170,-,-,-,290,-,-,-,-,323.948,207.7413,288.8937,-,-,1,S12000013,,0.0372,0.0463,6.01%,0.0489,0.1091,0.2588,0.1442,0.2233,0.1155,0.0718,0.0284,520,83,53,27684,1354,3021,7166,3993,6181,3197,1987,785
Glasgow City,0.007856788,55.864237,-4.251806,42854000,72.23,33924,4661,19836,4360,1528,3079,11291,1790,1910,"2,230",15160,16260,"18,980",0.057183794,0.033436439,0.008922115,0.007349409,0.005190099,0.019032609,0.002575664,-,-,-,5293,-,-,-,-,4273.3406,2768.9433,4294.2391,-,-,1,S12000046,,0.0256,0.026,2.92%,0.0556,0.2227,0.2912,0.1269,0.1651,0.0715,0.0496,0.0175,980,3546,2197,593245,32973,132134,172765,75286,97922,42410,29397,10358
Fife,0.009572889,56.208208,-3.149518,31508000,86.27,23462,3496,15115,3200,1107,2264,7599,1320,1700,"2,280",11150,13890,"17,650",0.064244602,0.041388507,0.009753613,0.008762370,0.006199377,0.020807891,0.003031232,-,-,-,3562,-,-,-,-,3166.8774,2272.0954,3048.6888,-,-,1,S12000015,,0.0305,0.0362,4.46%,0.0569,0.1492,0.2718,0.1437,0.203,0.0963,0.0579,0.0212,530,1029,894,365198,20775,54475,99274,52474,74129,35181,21155,7735
"Edinburgh, City of",0.008501425,55.953252,-3.188267,36754000,77.12,27760,4052,16712,3791,1319,2685,9191,1560,1940,"2,490",13010,16020,"20,120",0.058242731,0.035063131,0.009038533,0.007953825,0.005633348,0.019283463,0.002767369,-,-,-,4308,-,-,-,-,4058.9655,2218.7686,3619.5408,-,-,1,S12000036,,0.0273,0.0295,3.41%,0.0549,0.2267,0.2902,0.1158,0.1687,0.0715,0.0515,0.0207,730,1813,1671,476626,26163,108058,138326,55173,80419,34081,24528,9878
Clackmannanshire,0.008242292,56.124139,-3.758379,3935000,76.57,3262,424,1954,385,133,272,1079,160,200,290,1390,1730,"2,300",0.063411220,0.037984526,0.009836321,0.007484157,0.005287508,0.020975079,0.002585436,-,-,-,506,-,-,-,-,330.7748,313.8495,362.8744,-,-,1,S12000005,,0.027,0.0321,4.05%,0.0569,0.1367,0.2895,0.1508,0.2065,0.0947,0.0491,0.0158,600,149,154,51442,2927,7030,14892,7760,10621,4874,2525,813
Merthyr Tydfil,0.009149349,51.74873,-3.381646,4918000,83.64,3631,538,2317,493,171,349,1172,210,230,300,1740,1890,"2,320",0.061749600,0.039403422,0.008537125,0.008384069,0.005935172,0.019931295,0.002908064,-,-,-,502,-,-,-,-,491.11,349.99,487.32,-,-,1,W06000024,,0.0296,0.0329,4.01%,0.0617,0.1633,0.2631,0.1521,0.1932,0.0907,0.0558,0.0201,515,160,143,58802,3630,9602,15470,8946,11358,5331,3281,1184
Blaenau Gwent,0.009525310,51.787578,-3.204393,6007000,86.05,4453,665,2863,610,212,430,1428,250,310,410,2130,2540,"3,150",0.063783768,0.041008967,0.008751826,0.008737503,0.006159223,0.020454350,0.003036640,-,-,-,611,-,-,-,-,623.24,443.96,567.71,-,-,1,W06000019,,0.0305,0.0359,4.41%,0.0575,0.154,0.2692,0.1493,0.1912,0.0998,0.0575,0.0214,582,207,199,69814,4016,10752,18797,10423,13349,6965,4015,1497
West Dunbartonshire,0.009038801,55.965064,-4.50636,7484000,82.52,5710,820,3600,760,265,537,1871,310,350,430,2650,2930,"3,500",0.062940917,0.039682540,0.009667108,0.008377425,0.005919312,0.020623898,0.002921076,-,-,-,877,-,-,-,-,718.8253,523.2884,743.5381,-,-,1,S12000039,,0.0292,0.0329,4.05%,0.0577,0.1544,0.2755,0.1435,0.2044,0.0889,0.0565,0.0191,590,290,246,90720,5236,14007,24992,13022,18547,8062,5123,1731
Inverclyde,0.009989569,55.911809,-4.735906,7319000,89.81,5336,814,3504,759,265,536,1726,310,350,430,2590,2870,"3,360",0.065484445,0.043001779,0.009928208,0.009314598,0.006577898,0.021181813,0.003252132,-,-,-,809,-,-,-,-,728.9563,513.8927,743.8323,-,-,1,S12000018,,0.0318,0.038,4.81%,0.0516,0.1451,0.2724,0.1412,0.2084,0.0971,0.0626,0.0216,600,218,261,81485,4204,11823,22193,11507,16982,7916,5103,1757
Midlothian,0.008883600,55.829225,-3.133843,6735000,80.95,5288,739,3316,671,232,475,1734,280,350,480,2380,2940,"3,760",0.063567625,0.039861998,0.009773162,0.008066164,0.005710027,0.020844603,0.002788897,-,-,-,813,-,-,-,-,601.3464,505.9999,657.2156,-,-,1,S12000019,,0.0286,0.0343,4.20%,0.0586,0.1354,0.2757,0.1545,0.2087,0.0941,0.0553,0.0177,790,315,325,83187,4878,11262,22937,12850,17357,7830,4603,1470
Stirling,0.009318869,56.116523,-3.936903,7600000,84.25,5682,841,3634,768,266,543,1816,320,410,550,2690,3340,"4,250",0.062960542,0.040267267,0.009429676,0.008509978,0.006016821,0.020122553,0.002947466,-,-,-,851,-,-,-,-,755.2217,554.4977,737.8793,-,-,1,S12000030,,0.0298,0.0348,4.17%,0.0489,0.1696,0.2626,0.1526,0.1941,0.0946,0.0572,0.0203,650,309,269,90247,4415,15309,23702,13771,17517,8541,5161,1831
East Renfrewshire,0.010256807,55.74765,-4.35142,8293000,91.54,5862,929,3908,864,300,612,1894,350,430,550,2930,3470,"4,220",0.064720560,0.043147040,0.009804138,0.009539161,0.006756906,0.020911078,0.003312209,-,-,-,888,-,-,-,-,885.8626,544.7684,839.3539,-,-,1,S12000011,,0.0323,0.0387,4.70%,0.055,0.1204,0.265,0.1711,0.2088,0.0924,0.0636,0.0238,850,477,278,90574,4984,10901,23998,15495,18916,8365,5760,2155
